Player,FF-fumbles,FR-fumbles,FR TD-fumbles,report_datetime,report_date
Fred Warner,4,0,0,2024-10-17 21:06:51,2024-10-17
T.J. Watt,3,1,0,2024-10-17 21:06:51,2024-10-17
Jessie Bates,2,0,0,2024-10-17 21:06:51,2024-10-17
Lavonte David,2,0,0,2024-10-17 21:06:51,2024-10-17
Kingsley Enagbare,2,0,0,2024-10-17 21:06:51,2024-10-17
Myles Garrett,2,0,0,2024-10-17 21:06:51,2024-10-17
Derick Hall,2,0,0,2024-10-17 21:06:51,2024-10-17
Nate Landman,2,0,0,2024-10-17 21:06:51,2024-10-17
Laiatu Latu,2,1,0,2024-10-17 21:06:51,2024-10-17
Will McDonald IV,2,0,0,2024-10-17 21:06:51,2024-10-17
Germaine Pratt,2,2,0,2024-10-17 21:06:51,2024-10-17
Tykee Smith,2,0,0,2024-10-17 21:06:51,2024-10-17
Alontae Taylor,2,0,0,2024-10-17 21:06:51,2024-10-17
Azeez Al-Shaair,1,0,0,2024-10-17 21:06:51,2024-10-17
Evan Anderson,1,0,0,2024-10-17 21:06:51,2024-10-17
Felix Anudike-Uzomah,1,1,0,2024-10-17 21:06:51,2024-10-17
Dorance Armstrong,1,0,0,2024-10-17 21:06:51,2024-10-17
Jerome Baker,1,1,0,2024-10-17 21:06:51,2024-10-17
Deonte Banks,1,0,0,2024-10-17 21:06:51,2024-10-17
Derek Barnett,1,0,0,2024-10-17 21:06:51,2024-10-17
Andrew Billings,1,0,0,2024-10-17 21:06:51,2024-10-17
Joey Bosa,1,0,0,2024-10-17 21:06:51,2024-10-17
Nick Bosa,1,1,0,2024-10-17 21:06:51,2024-10-17
Brian Branch,1,0,0,2024-10-17 21:06:51,2024-10-17
Bryan Bresee,1,0,0,2024-10-17 21:06:51,2024-10-17
