Player,Rec-receiving,Yds-receiving,TD-receiving,20+-receiving,40+-receiving,LNG-receiving,Rec 1st-receiving,1st%-receiving,Rec FUM-receiving,Rec YAC/R-receiving,Tgts-receiving,report_datetime,report_date
Chris Godwin,43,511,5,6,2,55,29,67.4,1,324,53,2024-10-17 21:06:51,2024-10-17
Garrett Wilson,41,399,3,4,0,26,24,58.5,1,180,67,2024-10-17 21:06:51,2024-10-17
Drake London,38,428,4,2,0,31,22,57.9,0,117,54,2024-10-17 21:06:51,2024-10-17
Brock Bowers,37,384,1,5,1,57,17,46,0,206,46,2024-10-17 21:06:51,2024-10-17
Stefon Diggs,37,392,3,4,0,28,24,64.9,0,145,48,2024-10-17 21:06:51,2024-10-17
Wan'Dale Robinson,37,280,2,1,0,20,15,40.5,0,148,58,2024-10-17 21:06:51,2024-10-17
Malik Nabers,35,386,3,7,0,39,19,54.3,0,156,52,2024-10-17 21:06:51,2024-10-17
Ja'Marr Chase,34,565,5,8,4,70,23,67.6,0,265,42,2024-10-17 21:06:51,2024-10-17
Jaxon Smith-Njigba,34,310,1,1,0,24,17,50,1,146,49,2024-10-17 21:06:51,2024-10-17
Zay Flowers,33,401,1,5,1,44,20,60.6,0,211,48,2024-10-17 21:06:51,2024-10-17
Nico Collins,32,567,3,8,2,67,27,84.4,0,195,45,2024-10-17 21:06:51,2024-10-17
CeeDee Lamb,32,467,2,6,2,65,16,50,1,219,55,2024-10-17 21:06:51,2024-10-17
DK Metcalf,31,469,2,8,2,71,16,51.6,2,184,54,2024-10-17 21:06:51,2024-10-17
DJ Moore,31,314,3,4,1,44,13,41.9,0,145,47,2024-10-17 21:06:51,2024-10-17
Amon-Ra St. Brown,31,289,3,2,0,20,18,58.1,0,86,42,2024-10-17 21:06:51,2024-10-17
Diontae Johnson,29,340,3,5,0,39,19,65.5,0,86,55,2024-10-17 21:06:51,2024-10-17
Terry McLaurin,29,356,4,4,2,66,19,65.5,0,72,43,2024-10-17 21:06:51,2024-10-17
Alvin Kamara,28,238,1,2,1,57,8,28.6,1,220,36,2024-10-17 21:06:51,2024-10-17
George Kittle,28,283,5,3,0,29,16,57.1,0,97,35,2024-10-17 21:06:51,2024-10-17
Trey McBride,28,271,0,3,0,27,11,39.3,0,100,38,2024-10-17 21:06:51,2024-10-17
Josh Downs,27,239,2,3,0,25,15,55.6,0,100,35,2024-10-17 21:06:51,2024-10-17
Darnell Mooney,27,368,3,8,1,41,18,66.7,0,133,45,2024-10-17 21:06:51,2024-10-17
Jayden Reed,27,442,3,8,3,70,14,51.8,0,216,34,2024-10-17 21:06:51,2024-10-17
Breece Hall,26,204,1,3,0,26,6,23.1,1,170,34,2024-10-17 21:06:51,2024-10-17
Justin Jefferson,26,450,4,8,2,97,18,69.2,1,134,43,2024-10-17 21:06:51,2024-10-17
