Team,Att-def-passing,Cmp-def-passing,Cmp %-def-passing,Yds/Att-def-passing,Yds-def-passing,TD-def-passing,INT-def-passing,Rate-def-passing,1st-def-passing,1st%-def-passing,20+-def-passing,40+-def-passing,Lng-def-passing,Sck-def-passing,Att-def-rushing,Rush Yds-def-rushing,YPC-def-rushing,TD-def-rushing,20+-def-rushing,40+-def-rushing,Lng-def-rushing,Rush 1st-def-rushing,Rush 1st%-def-rushing,Rush FUM-def-rushing,Rec-def-receiving,Yds-def-receiving,Yds/Rec-def-receiving,TD-def-receiving,20+-def-receiving,40+-def-receiving,Lng-def-receiving,Rec 1st-def-receiving,Rec 1st%-def-receiving,Rec FUM-def-receiving,PDef-def-receiving,FR TD-def-scoring,SFTY-def-scoring,INT TD-def-scoring,Sck-def-tackles,Comb-def-tackles,Asst-def-tackles,Solo-def-tackles,3rd Att-def-downs,3rd Md-def-downs,4th Att-def-downs,4th Md-def-downs,Rec 1st-def-downs,Rec 1st%-def-downs,Rush 1st-def-downs,Rush 1st%-def-downs,Scrm Plys-def-downs,FF-def-fumbles,FR-def-fumbles,FR TD-def-fumbles,Rec FUM-def-fumbles,Rush FUM-def-fumbles,INT-def-interceptions,INT TD-def-interceptions,INT Yds-def-interceptions,Lng-def-interceptions,report_datetime,report_date
49Ers,195,120,61.5,7,1367,8,6,83.4,64,32.8,15,3,97T,16,139,606,4.4,5,2,1,50T,33,23.7,3,120,1367,11.4,8,15,3,97T,64,53.3,3,29,0,0,1,13,407,159,231,76,33,10,6,64,53.3,33,23.7,362,10,5,0,3,3,6,1,121,45T,2024-10-20 16:56:32,2024-10-20
Bears,188,118,62.8,6.4,1212,4,7,72.8,55,29.3,16,2,44,18,146,672,4.6,6,4,0,38T,37,25.3,2,118,1212,10.3,4,16,2,44,55,46.6,3,17,0,0,1,20,401,158,233,78,25,9,5,55,46.6,37,25.3,365,7,6,0,3,2,7,1,64,43T,2024-10-20 16:56:32,2024-10-20
Bengals,248,158,63.7,6.4,1576,11,6,86.4,78,31.4,12,3,55,12,218,953,4.4,8,4,1,51,65,29.8,3,158,1576,10,11,12,3,55,78,49.4,1,26,0,1,0,18,416,165,239,95,42,16,11,78,49.4,65,29.8,490,4,2,0,1,3,6,0,117,49,2024-10-20 16:56:32,2024-10-20
Bills,248,162,65.3,6.4,1584,9,7,83.5,79,31.8,16,2,67T,19,183,930,5.1,4,8,2,87T,45,24.6,4,162,1584,9.8,9,16,2,67T,79,48.8,1,24,0,0,1,9,404,165,216,94,39,17,6,79,48.8,45,24.6,462,8,5,0,1,4,7,1,82,31T,2024-10-20 16:56:32,2024-10-20
Broncos,230,151,65.6,5.9,1354,6,5,81,69,30,13,1,57T,28,192,782,4.1,4,6,1,40,38,19.8,1,151,1354,9,6,13,1,57T,69,45.7,2,30,1,2,1,9,414,152,252,103,38,8,3,69,45.7,38,19.8,463,5,5,1,2,1,5,1,158,100T,2024-10-20 16:56:32,2024-10-20
Browns,199,117,58.8,7.3,1446,8,1,92.7,64,32.2,21,5,66,18,202,883,4.4,8,9,2,50,50,24.8,4,117,1446,12.4,8,21,5,66,64,54.7,0,36,1,1,0,35,451,169,260,93,30,6,5,64,54.7,50,24.8,435,7,4,1,0,4,1,0,0,0,2024-10-20 16:56:32,2024-10-20
Buccaneers,245,159,64.9,6.7,1634,6,5,83.6,74,30.2,18,3,50,17,144,680,4.7,8,6,2,59,43,29.9,4,159,1634,10.3,6,18,3,50,74,46.5,3,29,1,0,0,17,368,127,230,78,29,15,10,74,46.5,43,29.9,422,8,4,1,3,4,5,0,28,17,2024-10-20 16:56:32,2024-10-20
Cardinals,170,122,71.8,8.1,1382,10,5,103.1,73,42.9,16,3,53,11,197,918,4.7,8,3,0,34,55,27.9,1,122,1382,11.3,10,16,3,53,73,59.8,0,20,0,0,0,11,356,122,224,67,33,9,5,73,59.8,55,27.9,389,3,3,0,0,1,5,0,10,10,2024-10-20 16:56:32,2024-10-20
Chargers,153,106,69.3,6.8,1047,5,5,85.6,42,27.4,15,2,55T,13,115,486,4.2,2,4,0,23,25,21.7,3,106,1047,9.9,5,15,2,55T,42,39.6,0,15,0,0,0,12,317,120,177,67,25,6,3,42,39.6,25,21.7,290,3,4,0,0,3,5,0,60,29,2024-10-20 16:56:32,2024-10-20
Chiefs,168,105,62.5,6.7,1122,7,2,90.9,53,31.6,11,4,50,9,118,442,3.8,2,1,0,20,27,22.9,2,105,1122,10.7,7,11,4,50,53,50.5,1,17,1,0,0,9,347,142,188,59,21,10,4,53,50.5,27,22.9,305,5,2,1,1,2,2,0,15,12,2024-10-20 16:56:32,2024-10-20
