Team,Att-off-passing,Cmp-off-passing,Cmp %-off-passing,Yds/Att-off-passing,Pass Yds-off-passing,TD-off-passing,INT-off-passing,Rate-off-passing,1st-off-passing,1st%-off-passing,20+-off-passing,40+-off-passing,Lng-off-passing,Sck-off-passing,SckY-off-passing,Att-off-rushing,Rush Yds-off-rushing,YPC-off-rushing,TD-off-rushing,20+-off-rushing,40+-off-rushing,Lng-off-rushing,Rush 1st-off-rushing,Rush 1st%-off-rushing,Rush FUM-off-rushing,Rec-off-receiving,Yds-off-receiving,Yds/Rec-off-receiving,TD-off-receiving,20+-off-receiving,40+-off-receiving,Lng-off-receiving,Rec 1st-off-receiving,Rec 1st%-off-receiving,Rec FUM-off-receiving,Rsh TD-off-scoring,Rec TD-off-scoring,Tot TD-off-scoring,2-PT-off-scoring,3rd Att-off-downs,3rd Md-off-downs,4th Att-off-downs,4th Md-off-downs,Rec 1st-off-downs,Rec 1st%-off-downs,Rush 1st-off-downs,Rush 1st%-off-downs,Scrm Plys-off-downs,report_datetime,report_date
49Ers,216,138,63.9,8.5,1841,9,7,91.2,85,39.4,26,6,76T,14,57,212,1049,5,7,9,1,76,54,25.5,4,138,1841,13.3,9,26,6,76T,91,65.9,2,7,9,18,0,81,34,6,3,91,65.9,54,25.5,462,2024-10-27 15:45:34,2024-10-27
Bears,199,130,65.3,6.6,1317,9,5,88.7,63,31.7,15,3,47,20,137,168,629,3.7,7,4,0,36T,39,23.2,1,130,1317,10.1,9,15,3,47T,63,48.5,1,7,9,18,1,82,29,11,8,63,48.5,39,23.2,397,2024-10-27 15:45:34,2024-10-27
Bengals,226,159,70.4,7.8,1759,14,2,110.1,87,38.5,17,5,70T,18,97,157,660,4.2,6,4,1,47,37,23.6,3,159,1759,11.1,14,17,5,70,87,54.7,2,6,14,21,1,85,35,5,3,87,54.7,37,23.6,414,2024-10-27 15:45:34,2024-10-27
Bills,192,121,63,7.8,1488,12,0,107.7,66,34.4,23,5,57,9,55,192,814,4.2,11,2,1,49T,51,26.6,0,121,1488,12.3,12,23,5,57,66,54.6,1,11,12,24,0,77,26,7,7,66,54.6,51,26.6,407,2024-10-27 15:45:34,2024-10-27
Broncos,224,137,61.2,5.6,1246,5,5,74.4,52,23.2,21,1,49,9,57,184,869,4.7,6,8,1,43,56,30.4,4,137,1246,9.1,5,21,1,49,52,38,2,6,5,13,0,91,24,9,7,52,38,56,30.4,435,2024-10-27 15:45:34,2024-10-27
Browns,252,154,61.1,5.2,1313,6,5,74.4,57,22.6,12,0,35,35,196,157,660,4.2,3,4,0,36,40,25.5,3,154,1313,8.5,6,12,0,35T,57,37,0,3,6,11,2,97,23,18,11,57,37,40,25.5,457,2024-10-27 15:45:34,2024-10-27
Buccaneers,234,165,70.5,7.9,1859,18,7,107.1,99,42.3,24,2,55T,20,121,185,946,5.1,6,6,1,56,48,26,2,165,1859,11.3,18,24,2,55,99,60,4,6,18,25,1,85,43,4,2,99,60,48,26,452,2024-10-27 15:45:34,2024-10-27
Cardinals,196,130,66.3,6.8,1331,9,3,94.6,62,31.6,15,1,60T,11,64,193,1052,5.4,5,10,3,50T,59,30.6,5,130,1331,10.2,9,15,1,60,62,47.7,4,5,9,16,2,71,28,8,3,62,47.7,59,30.6,413,2024-10-27 15:45:34,2024-10-27
Chargers,166,109,65.7,7.2,1188,6,1,96.2,54,32.5,15,1,41,15,84,175,698,4,3,4,3,61,36,20.6,1,109,1188,10.9,6,15,1,41,54,49.5,2,3,6,9,0,87,37,2,1,54,49.5,36,20.6,372,2024-10-27 15:45:34,2024-10-27
Chiefs,187,127,67.9,7.4,1389,6,8,82.5,69,36.9,17,3,54T,11,60,189,773,4.1,9,3,0,33T,50,26.5,3,127,1389,10.9,6,16,3,54,69,54.3,0,9,6,16,0,75,34,6,5,69,54.3,50,26.5,401,2024-10-27 15:45:34,2024-10-27
Colts,210,121,57.6,7.2,1523,10,7,82.3,65,31,23,7,65,10,79,190,861,4.5,8,8,0,33T,54,28.4,3,121,1523,12.6,10,23,7,65,65,53.7,1,8,10,18,0,88,36,7,4,65,53.7,54,28.4,422,2024-10-27 15:45:34,2024-10-27
