Team,Actual Date,Period,Time (Day/Night),Temperature,Temperature Unit,Wind Speed,Wind Direction,Detailed Forecast,Combined Date Time,Date Ran,DateTime Ran
Cowboys,2024-10-27,This Afternoon,Day,87,F,0 to 5 mph,SSE,"Sunny, with a high near 87. South southeast wind 0 to 5 mph.",2024-10-27 10:00,2024-10-27,2024-10-27 15:45:35
Cowboys,2024-10-27,Tonight,Day,69,F,5 to 15 mph,SSE,"Clear. Low around 69, with temperatures rising to around 71 overnight. South southeast wind 5 to 15 mph, with gusts as high as 25 mph.",2024-10-27 10:00,2024-10-27,2024-10-27 15:45:35
Cowboys,2024-10-27,Monday,Day,88,F,15 mph,S,"Sunny. High near 88, with temperatures falling to around 86 in the afternoon. South wind around 15 mph, with gusts as high as 30 mph.",2024-10-29 10:00,2024-10-27,2024-10-27 15:45:35
Cowboys,2024-10-27,Monday Night,Night,70,F,15 to 20 mph,S,"Mostly clear, with a low around 70. South wind 15 to 20 mph, with gusts as high as 30 mph.",2024-10-29 20:00,2024-10-27,2024-10-27 15:45:35
Cowboys,2024-10-27,Tuesday,Day,86,F,15 to 20 mph,S,"Partly sunny, with a high near 86. South wind 15 to 20 mph, with gusts as high as 40 mph.",2024-10-30 10:00,2024-10-27,2024-10-27 15:45:35
Cowboys,2024-10-27,Tuesday Night,Night,71,F,15 to 20 mph,SSE,"Partly cloudy, with a low around 71. South southeast wind 15 to 20 mph, with gusts as high as 35 mph.",2024-10-30 20:00,2024-10-27,2024-10-27 15:45:35
Cowboys,2024-10-27,Wednesday,Day,85,F,15 to 20 mph,S,"A chance of showers and thunderstorms between 7am and 1pm, then a chance of showers and thunderstorms. Partly sunny, with a high near 85. South wind 15 to 20 mph, with gusts as high as 35 mph. Chance of precipitation is 50%.",2024-10-31 10:00,2024-10-27,2024-10-27 15:45:35
Cowboys,2024-10-27,Wednesday Night,Night,64,F,10 mph,S,"Showers and thunderstorms. Mostly cloudy, with a low around 64. South wind around 10 mph, with gusts as high as 25 mph. Chance of precipitation is 80%.",2024-10-31 20:00,2024-10-27,2024-10-27 15:45:35
Cowboys,2024-10-27,Thursday,Day,75,F,5 to 10 mph,NE,"Showers and thunderstorms. Partly sunny, with a high near 75. Northeast wind 5 to 10 mph. Chance of precipitation is 80%.",2024-11-01 10:00,2024-10-27,2024-10-27 15:45:35
Cowboys,2024-10-27,Thursday Night,Night,61,F,5 mph,NE,"A chance of showers and thunderstorms. Mostly cloudy, with a low around 61. Chance of precipitation is 40%.",2024-11-01 20:00,2024-10-27,2024-10-27 15:45:35
Cowboys,2024-10-27,Friday,Day,76,F,5 to 10 mph,E,"A chance of showers and thunderstorms. Mostly cloudy, with a high near 76. Chance of precipitation is 50%.",2024-11-02 10:00,2024-10-27,2024-10-27 15:45:35
Cowboys,2024-10-27,Friday Night,Night,65,F,10 mph,SE,"Showers and thunderstorms likely. Mostly cloudy, with a low around 65. Chance of precipitation is 60%.",2024-11-02 20:00,2024-10-27,2024-10-27 15:45:35
Cowboys,2024-10-27,Saturday,Day,77,F,10 mph,SSE,"Showers and thunderstorms likely. Mostly cloudy, with a high near 77. Chance of precipitation is 60%.",2024-11-03 10:00,2024-10-27,2024-10-27 15:45:35
Cowboys,2024-10-27,Saturday Night,Night,65,F,10 mph,SSE,"Showers and thunderstorms likely. Mostly cloudy, with a low around 65. Chance of precipitation is 60%.",2024-11-03 20:00,2024-10-27,2024-10-27 15:45:35
