Period,Temperature,Temperature Unit,Wind Speed,Wind Direction,Detailed Forecast
Today,57,F,5 to 8 mph,W,"Areas of frost before 9am. Mostly sunny. High near 57, with temperatures falling to around 54 in the afternoon. West wind 5 to 8 mph."
Tonight,33,F,6 mph,SW,"Widespread frost after 1am. Mostly clear, with a low around 33. Southwest wind around 6 mph."
Thursday,64,F,6 to 15 mph,SSW,"Widespread frost before 9am. Sunny. High near 64, with temperatures falling to around 62 in the afternoon. South southwest wind 6 to 15 mph, with gusts as high as 24 mph."
Thursday Night,43,F,7 to 10 mph,S,"Clear, with a low around 43. South wind 7 to 10 mph, with gusts as high as 21 mph."
Friday,68,F,7 to 12 mph,SSW,"Sunny, with a high near 68. South southwest wind 7 to 12 mph, with gusts as high as 21 mph."
Friday Night,41,F,6 to 10 mph,SSW,"Mostly clear, with a low around 41."
Saturday,70,F,5 to 9 mph,SSW,"Sunny, with a high near 70."
Saturday Night,49,F,8 mph,SW,"Mostly clear, with a low around 49."
Sunday,73,F,6 to 10 mph,SW,"Sunny, with a high near 73."
Sunday Night,49,F,8 mph,SSW,"Mostly clear, with a low around 49."
Monday,71,F,6 to 10 mph,SSW,"Mostly sunny, with a high near 71."
Monday Night,49,F,9 mph,SSW,"A slight chance of rain showers after 7pm. Mostly cloudy, with a low around 49."
Tuesday,67,F,6 to 13 mph,SW,"A slight chance of rain showers. Mostly sunny, with a high near 67."
Tuesday Night,43,F,7 to 12 mph,W,"A slight chance of rain showers before 1am. Partly cloudy, with a low around 43."
